Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785333037,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785333038,5,,Aggregated,0.000000,0.000000,99,110,120,140,150,150,150,150,150,150,150,10,0,64,89.71742000430822,38.6255000194069,145.29810001840815,2346.0
1785333039,10,,Aggregated,0.000000,0.000000,46,59,64,99,120,140,150,150,150,150,150,22,0,43,60.0045090964572,11.404900025809184,145.29810001840815,2346.0
1785333040,15,,Aggregated,10.000000,0.000000,41,47,48,59,110,140,150,150,150,150,150,37,0,41,48.47091351513046,8.140699996147305,145.29810001840815,2346.0
1785333041,20,,Aggregated,10.000000,0.000000,39,43,48,48,64,120,140,150,150,150,150,56,0,37,42.03338392887547,8.140699996147305,145.29810001840815,2346.0
1785333042,25,,Aggregated,11.000000,0.000000,37,44,48,52,64,110,140,150,150,150,150,79,0,37,40.8897151904552,8.140699996147305,145.29810001840815,2346.0
1785333043,30,,Aggregated,12.000000,0.000000,37,43,47,49,60,73,120,140,150,150,150,104,0,36,38.04575961532044,8.140699996147305,145.29810001840815,2346.0
1785333044,35,,Aggregated,13.800000,0.000000,37,44,48,51,63,71,120,140,150,150,150,127,0,37,38.021010235795295,8.140699996147305,145.29810001840815,2346.0
1785333045,40,,Aggregated,15.000000,0.000000,34,42,47,48,59,65,110,140,150,150,150,157,0,34,35.97073312099892,8.140699996147305,145.29810001840815,2346.0
1785333046,50,,Aggregated,16.571429,0.000000,36,44,48,54,71,86,110,140,150,150,150,194,0,36,38.28672835043483,7.457500003511086,145.29810001840815,2346.0
1785333047,50,,Aggregated,17.500000,0.000000,36,45,52,58,73,85,99,120,150,150,150,228,0,36,39.013333772074255,7.457500003511086,145.29810001840815,2346.0
1785333048,50,,Aggregated,19.333333,0.000000,34,43,48,54,72,82,98,120,150,150,150,256,0,34,37.84910468766611,7.457500003511086,145.29810001840815,2346.0
1785333049,50,,Aggregated,20.300000,0.000000,32,42,48,52,71,80,98,120,150,150,150,281,0,32,36.84435693952719,7.457500003511086,145.29810001840815,2346.0
1785333050,50,,Aggregated,22.300000,0.000000,31,42,47,51,70,79,95,110,150,150,150,310,0,31,36.0940190322224,7.457500003511086,145.29810001840815,2346.0
1785333051,50,,Aggregated,23.800000,0.000000,29,40,46,48,65,78,95,110,150,150,150,340,0,29,34.78515264706563,7.457500003511086,145.29810001840815,2346.0
1785333052,50,,Aggregated,25.200000,0.000000,29,39,44,48,64,74,88,110,150,150,150,369,0,29,33.90675772312425,7.457500003511086,145.29810001840815,2346.0
1785333053,50,,Aggregated,26.700000,0.000000,29,39,44,48,62,74,87,99,150,150,150,402,0,29,33.72588731300443,7.457500003511086,145.29810001840815,2346.0
1785333054,50,,Aggregated,27.300000,0.000000,29,38,43,47,61,74,87,99,150,150,150,425,0,29,33.31070705837406,7.457500003511086,145.29810001840815,2346.0
1785333055,50,,Aggregated,28.000000,0.000000,27,38,43,47,62,74,87,110,150,150,150,451,0,27,32.91948403525032,7.306100014830008,145.29810001840815,2346.0
1785333056,50,,Aggregated,28.600000,0.000000,25,36,42,46,61,74,87,110,150,150,150,478,0,25,31.744743514624346,7.146600022679195,145.29810001840815,2346.0
1785333057,50,,Aggregated,28.500000,0.000000,24,35,42,45,59,73,86,99,150,150,150,504,0,24,30.904777777785,7.146600022679195,145.29810001840815,2346.0
1785333058,50,,Aggregated,28.000000,0.000000,23,33,41,44,59,73,86,99,150,150,150,538,0,23,30.10186802980587,7.146600022679195,145.29810001840815,2346.0
1785333059,50,,Aggregated,28.000000,0.000000,22,32,41,44,57,73,86,99,150,150,150,557,0,22,29.529717414768637,6.3584999879822135,145.29810001840815,2346.0
1785333060,50,,Aggregated,27.100000,0.000000,21,31,40,43,56,72,86,99,150,150,150,583,0,21,28.791846312140393,6.3584999879822135,145.29810001840815,2346.0
1785333061,50,,Aggregated,28.000000,0.000000,21,30,39,42,56,72,85,98,150,150,150,613,0,21,28.108060358720415,6.3584999879822135,145.29810001840815,2346.0
1785333062,50,,Aggregated,27.300000,0.000000,20,29,38,42,54,71,85,98,150,150,150,647,0,20,27.5626644511312,6.3584999879822135,145.29810001840815,2346.0
1785333063,50,,Aggregated,27.000000,0.000000,19,29,37,41,53,71,82,98,150,150,150,671,0,19,27.015478241180336,6.3584999879822135,145.29810001840815,2346.0
1785333064,50,,Aggregated,27.400000,0.000000,19,28,36,41,52,70,81,95,150,150,150,703,0,19,26.51075960151357,6.3584999879822135,145.29810001840815,2346.0
1785333065,50,,Aggregated,27.800000,0.000000,19,27,36,40,52,70,81,95,150,150,150,734,0,18,26.117520435628855,6.3584999879822135,145.29810001840815,2346.0
1785333066,50,,Aggregated,27.300000,0.000000,18,26,34,40,51,68,80,95,150,150,150,759,0,18,25.628854940457966,6.3584999879822135,145.29810001840815,2346.0
1785333067,50,,Aggregated,27.800000,0.000000,17,25,33,39,50,65,80,95,150,150,150,797,0,17,25.10200740240451,6.3584999879822135,145.29810001840815,2346.0
1785333068,50,,Aggregated,28.000000,0.000000,17,25,32,38,49,64,79,88,150,150,150,821,0,17,24.886159926633624,6.3584999879822135,145.29810001840815,2346.0
1785333070,50,,Aggregated,27.900000,0.000000,17,24,32,38,48,64,79,88,150,150,150,841,0,17,24.54929024946054,6.3584999879822135,145.29810001840815,2346.0
1785333071,50,,Aggregated,29.300000,0.000000,17,24,31,37,48,64,78,88,150,150,150,876,0,17,24.213816666391946,6.3584999879822135,145.29810001840815,2346.0
1785333072,50,,Aggregated,28.300000,0.000000,16,23,31,36,48,63,78,87,150,150,150,902,0,16,23.86221895762306,6.3584999879822135,145.29810001840815,2346.0
1785333073,50,,Aggregated,28.300000,0.000000,16,23,30,36,48,63,78,87,150,150,150,932,0,16,23.59328047181165,6.3584999879822135,145.29810001840815,2346.0
1785333074,50,,Aggregated,29.100000,0.000000,16,22,30,35,48,62,76,87,150,150,150,959,0,16,23.284914494007516,6.3584999879822135,145.29810001840815,2346.0
1785333075,50,,Aggregated,28.400000,0.000000,16,22,29,34,47,61,76,87,150,150,150,986,0,16,22.99508813373805,6.3584999879822135,145.29810001840815,2346.0
1785333076,50,,Aggregated,28.400000,0.000000,16,21,29,33,47,61,75,86,140,150,150,1017,0,16,22.65410314630804,6.3584999879822135,145.29810001840815,2346.0
1785333077,50,,Aggregated,28.400000,0.000000,15,21,28,33,46,60,75,86,140,150,150,1044,0,15,22.507152490179998,6.3584999879822135,145.29810001840815,2346.0
1785333078,50,,Aggregated,28.200000,0.000000,15,21,27,32,46,59,74,86,140,150,150,1075,0,15,22.251455534633987,6.3584999879822135,145.29810001840815,2346.0
1785333079,50,,Aggregated,28.200000,0.000000,15,21,27,32,46,58,74,86,140,150,150,1102,0,15,22.05817776753486,6.3584999879822135,145.29810001840815,2346.0
1785333080,50,,Aggregated,27.800000,0.000000,15,21,26,32,45,58,74,86,140,150,150,1135,0,15,21.921158678207078,6.3584999879822135,145.29810001840815,2346.0
1785333081,50,,Aggregated,27.800000,0.000000,15,20,26,31,45,57,74,86,140,150,150,1155,0,15,21.824135757338667,6.3584999879822135,145.29810001840815,2346.0
1785333082,50,,Aggregated,29.300000,0.000000,15,20,26,31,44,57,74,86,140,150,150,1184,0,15,21.583622043746455,6.3584999879822135,145.29810001840815,2346.0
1785333083,50,,Aggregated,27.900000,0.000000,14,20,26,31,44,56,74,85,140,150,150,1214,0,14,21.438867545181683,6.3584999879822135,145.29810001840815,2346.0
1785333084,50,,Aggregated,27.900000,0.000000,14,19,26,30,44,56,74,85,140,150,150,1239,0,14,21.315948183958728,6.3584999879822135,145.29810001840815,2346.0
1785333085,50,,Aggregated,28.000000,0.000000,14,19,26,30,44,56,74,87,140,150,150,1272,0,14,21.45333663511852,5.975000007310882,145.29810001840815,2346.0
1785333086,50,,Aggregated,28.000000,0.000000,14,19,25,30,44,56,74,86,140,150,150,1306,0,14,21.363334456254737,5.975000007310882,145.29810001840815,2346.0
1785333087,50,,Aggregated,28.400000,0.000000,14,19,25,30,43,56,74,86,140,150,150,1333,0,14,21.213469992397705,5.975000007310882,145.29810001840815,2346.0
1785333088,50,,Aggregated,28.500000,0.000000,14,19,25,30,43,55,74,86,140,150,150,1361,0,14,21.047268184976247,5.975000007310882,145.29810001840815,2346.0
1785333089,50,,Aggregated,28.500000,0.000000,14,19,24,29,43,55,74,86,140,150,150,1391,0,14,20.895087706489356,5.975000007310882,145.29810001840815,2346.0
